episode,step,r,c,has_key,energy,action,reward,next_r,next_c,next_has_key,next_energy,event,q_before,max_next_q,td_target,td_error,q_after,alpha,gamma,epsilon
2500,19,6,5,0,41,3,49.0,6,6,1,40,key_pickup,44.60515379228744,-4.639468740702596,44.59250469633253,-0.012649095954905931,44.60388888269195,0.1,0.95,0.01
2500,20,6,6,1,40,2,-1.0,6,5,1,39,move,-4.639468740702596,-3.861751634912474,-4.66866405316685,-0.02919531246425411,-4.642388271949022,0.1,0.95,0.01
2500,21,6,5,1,39,1,-1.0,7,5,1,38,move,-3.861751634912474,-3.1432963891195067,-3.9861315696635313,-0.12437993475105724,-3.8741896283875796,0.1,0.95,0.01
2500,22,7,5,1,38,2,-1.0,7,4,1,37,move,-3.1432963891195067,-2.4150572333496223,-3.294304371682141,-0.15100798256263426,-3.15839718737577,0.1,0.95,0.01
2500,23,7,4,1,37,1,-1.0,8,4,1,36,move,-2.4150572333496223,-1.6529197552062742,-2.5702737674459604,-0.15521653409633807,-2.430578886759256,0.1,0.95,0.01
2500,24,8,4,1,36,2,-1.0,9,4,1,35,move,-1.6529197552062742,-0.988995931985758,-1.93954613538647,-0.2866263801801958,-1.6815823932242937,0.1,0.95,0.01
2500,25,9,4,1,35,3,-1.0,9,5,1,34,move,-0.988995931985758,-0.5,-1.475,-0.4860040680142421,-1.0375963387871823,0.1,0.95,0.01
2500,26,9,5,1,34,1,-5.0,9,5,1,33,wall_hit,-0.5,-0.11167971496534375,-5.106095729217077,-4.606095729217077,-0.9606095729217077,0.1,0.95,0.01
2500,27,9,5,1,33,3,-1.0,9,6,1,32,move,-0.11167971496534375,-0.2004025,-1.190382375,-1.0787026600346563,-0.2195499809688094,0.1,0.95,0.01
2500,28,9,6,1,32,1,-1.0,10,6,1,31,move,-0.2004025,-0.2270624936875,-1.2157093690031249,-1.0153068690031248,-0.3019331869003125,0.1,0.95,0.01
2500,29,10,6,1,31,2,-1.0,9,6,1,30,move,-0.2270624936875,-0.46518344850000004,-1.441924276075,-1.2148617823874999,-0.34854867192625,0.1,0.95,0.01
2500,30,9,6,1,30,2,-1.0,9,5,1,29,move,-0.46518344850000004,-0.41591683762500004,-1.39512099574375,-0.92993754724375,-0.558177203224375,0.1,0.95,0.01
2500,31,9,5,1,29,2,-1.0,9,4,1,28,move,-0.41591683762500004,-0.41901000000000005,-1.3980595,-0.982142662375,-0.5141311038625,0.1,0.95,0.01
2500,32,9,4,1,28,1,-1.0,10,4,1,27,move,-0.41901000000000005,-0.20976475,-1.1992765125,-0.7802665124999999,-0.49703665125000007,0.1,0.95,0.01
2500,33,10,4,1,27,0,-1.0,9,4,1,26,move,-0.20976475,-0.3970099875,-1.377159488125,-1.167394738125,-0.3265042238125,0.1,0.95,0.01
2500,34,9,4,1,26,3,-1.0,9,5,1,25,move,-0.3970099875,-0.3961977375,-1.376387850625,-0.9793778631250001,-0.4949477738125,0.1,0.95,0.01
2500,35,9,5,1,25,2,-1.0,9,4,1,24,move,-0.3961977375,-0.30610725,-1.2908018875,-0.89460415,-0.4856581525,0.1,0.95,0.01
