timestamp,algorithm,variant_id,seed,status,runtime_seconds,error_message,output_files
2026-08-05 01:42:33,q_learning,q_learning_sparse_linear_seed81150,81150,success,10.036,,results/models/q_learning/q_learning_sparse_linear_seed81150.json
2026-08-05 01:42:44,q_learning,q_learning_sparse_linear_seed8565,8565,success,10.884,,results/models/q_learning/q_learning_sparse_linear_seed8565.json
2026-08-05 01:42:55,q_learning,q_learning_sparse_linear_seed17944,17944,success,10.837,,results/models/q_learning/q_learning_sparse_linear_seed17944.json
2026-08-05 01:43:05,q_learning,q_learning_sparse_exponential_seed81150,81150,success,10.53,,results/models/q_learning/q_learning_sparse_exponential_seed81150.json
2026-08-05 01:43:16,q_learning,q_learning_sparse_exponential_seed8565,8565,success,10.431,,results/models/q_learning/q_learning_sparse_exponential_seed8565.json
2026-08-05 01:43:26,q_learning,q_learning_sparse_exponential_seed17944,17944,success,10.052,,results/models/q_learning/q_learning_sparse_exponential_seed17944.json
2026-08-05 01:43:36,q_learning,q_learning_shaped_linear_seed81150,81150,success,9.937,,results/models/q_learning/q_learning_shaped_linear_seed81150.json
2026-08-05 01:43:47,q_learning,q_learning_shaped_linear_seed8565,8565,success,11.185,,results/models/q_learning/q_learning_shaped_linear_seed8565.json
2026-08-05 01:43:58,q_learning,q_learning_shaped_linear_seed17944,17944,success,11.715,,results/models/q_learning/q_learning_shaped_linear_seed17944.json
2026-08-05 01:44:07,q_learning,q_learning_shaped_exponential_seed81150,81150,success,8.877,,results/models/q_learning/q_learning_shaped_exponential_seed81150.json
2026-08-05 01:44:18,q_learning,q_learning_shaped_exponential_seed8565,8565,success,11.008,,results/models/q_learning/q_learning_shaped_exponential_seed8565.json
2026-08-05 01:44:29,q_learning,q_learning_shaped_exponential_seed17944,17944,success,10.191,,results/models/q_learning/q_learning_shaped_exponential_seed17944.json
2026-08-05 01:43:50,value_iteration,vi_sparse_gamma0.9,,success,64.676,,results/models/vi/vi_sparse_gamma0.9.json
2026-08-05 01:45:02,value_iteration,vi_sparse_gamma0.95,,success,71.305,,results/models/vi/vi_sparse_gamma0.95.json
2026-08-05 01:46:12,value_iteration,vi_sparse_gamma0.99,,success,70.248,,results/models/vi/vi_sparse_gamma0.99.json
2026-08-05 01:44:38,sarsa_lambda,sarsa_sparse_lambda0.0_seed81150,81150,success,8.275,,results/models/sarsa/sarsa_sparse_lambda0.0_seed81150.json
2026-08-05 01:44:46,sarsa_lambda,sarsa_sparse_lambda0.0_seed8565,8565,success,8.355,,results/models/sarsa/sarsa_sparse_lambda0.0_seed8565.json
2026-08-05 01:44:55,sarsa_lambda,sarsa_sparse_lambda0.0_seed17944,17944,success,8.247,,results/models/sarsa/sarsa_sparse_lambda0.0_seed17944.json
2026-08-05 01:45:08,sarsa_lambda,sarsa_sparse_lambda0.3_seed81150,81150,success,13.351,,results/models/sarsa/sarsa_sparse_lambda0.3_seed81150.json
2026-08-05 01:45:21,sarsa_lambda,sarsa_sparse_lambda0.3_seed8565,8565,success,13.351,,results/models/sarsa/sarsa_sparse_lambda0.3_seed8565.json
